9.661400620696345e-06,6.908301496167628e-07,7.411306110970548e-07,8.111257812725499e-07,7.354492492952703e-07,7.986761127891229e-07,7.382530364177513e-07,7.629157594736713e-07,6.968895491401628e-07,7.203857511792278e-07
6.908301496167628e-07,9.887542743345272e-06,8.411909028686697e-07,8.147068787549062e-07,7.721559282064947e-07,7.729880743444594e-07,7.792048678007522e-07,8.253482810991008e-07,7.74254940400735e-07,8.103542310565537e-07
7.411306110970548e-07,8.411909028686697e-07,9.947283198041222e-06,7.834602705928393e-07,7.636909540635614e-07,8.587214395211537e-07,7.764179364755331e-07,8.526448958502539e-07,7.919536666010488e-07,8.200309734398924e-07
8.111257812725499e-07,8.147068787549062e-07,7.834602705928393e-07,1.0038720001001963e-05,7.744090301690575e-07,7.891412649336242e-07,8.106485484232589e-07,8.706930657236304e-07,8.364894538357168e-07,8.464629266213747e-07
7.354492492952703e-07,7.721559282064947e-07,7.636909540635614e-07,7.744090301690575e-07,9.943927638686183e-06,8.271024747565983e-07,8.062762459323924e-07,7.478470511721659e-07,7.984016577381848e-07,8.15239656273862e-07
7.986761127891229e-07,7.729880743444594e-07,8.587214395211537e-07,7.891412649336242e-07,8.271024747565983e-07,1.0021313056153113e-05,7.828165525246815e-07,8.458436889792736e-07,7.901984408142939e-07,7.785169820066278e-07
7.382530364177513e-07,7.792048678007522e-07,7.764179364755331e-07,8.106485484232589e-07,8.062762459323924e-07,7.828165525246815e-07,1.0015282946307346e-05,8.167624505869938e-07,8.559182699246877e-07,8.54819312832439e-07
7.629157594736713e-07,8.253482810991008e-07,8.526448958502539e-07,8.706930657236304e-07,7.478470511721659e-07,8.458436889792736e-07,8.167624505869938e-07,1.0504223869534672e-05,8.263342102961374e-07,8.582219721246704e-07
6.968895491401628e-07,7.74254940400735e-07,7.919536666010488e-07,8.364894538357168e-07,7.984016577381848e-07,7.901984408142939e-07,8.559182699246877e-07,8.263342102961374e-07,9.98305740499241e-06,8.384451754001032e-07
7.203857511792278e-07,8.103542310565537e-07,8.200309734398924e-07,8.464629266213747e-07,8.15239656273862e-07,7.785169820066278e-07,8.54819312832439e-07,8.582219721246704e-07,8.384451754001032e-07,9.997248521241368e-06
