"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,-0.34162335078768,0.0974010527018591,0.511727739923432,0,0,0,-0.405666839275597,0,-0.33267396794321
0,1,-0.285112397841897,0,0,0,0,0.21586672730461,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0.383097107854787,0.364663209404694,0,0,-0.200581159161936
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1
